emoji,name,category,compatibility_rating,sequence_type,code_points,notes,keywords
⛴,ferry,Travel & Places,usually_safer,single_code_point,U+26F4,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",boat; ferry; passenger; transport; travel; vehicle
⚓️,anchor,Travel & Places,usually_safer,variation_sequence,U+2693 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",anchor; ship; tool; transport; travel; vehicle
⛽️,fuel pump,Travel & Places,usually_safer,variation_sequence,U+26FD U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",diesel; fuel; fuelpump; gas; gasoline; pump; station; transport; travel; vehicle
⛲️,fountain,Travel & Places,usually_safer,variation_sequence,U+26F2 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",fountain; nature; outdoors
⛱,umbrella on ground,Travel & Places,usually_safer,single_code_point,U+26F1,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",ground; on; rain; sun; umbrella
⛰,mountain,Travel & Places,usually_safer,single_code_point,U+26F0,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",mountain; nature; outdoors
⛺️,tent,Travel & Places,usually_safer,variation_sequence,U+26FA U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",camping; nature; outdoors; tent
⛪️,church,Travel & Places,usually_safer,variation_sequence,U+26EA U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",bless; chapel; christian; church; cross; religion
⛩,shinto shrine,Travel & Places,usually_safer,single_code_point,U+26E9,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",religion; shinto; shrine
⌚️,watch,Objects,usually_safer,variation_sequence,U+231A U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",clock; time; watch
⌨️,keyboard,Objects,usually_safer,variation_sequence,U+2328 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",computer; keyboard; office; stationery; work
☎️,black telephone,Objects,usually_safer,variation_sequence,U+260E U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",black; dark; phone; telephone
⏱,stopwatch,Objects,usually_safer,single_code_point,U+23F1,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",clock; stopwatch; time
⏲,timer clock,Objects,usually_safer,single_code_point,U+23F2,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",clock; time; timer
⏰,alarm clock,Objects,usually_safer,single_code_point,U+23F0,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",alarm; clock; hours; hrs; late; time; waiting
⌛️,hourglass,Objects,usually_safer,variation_sequence,U+231B U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",clock; done; hourglass; sand; time; timer
⏳,hourglass with flowing sand,Objects,usually_safer,single_code_point,U+23F3,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",clock; done; flowing; hourglass; hours; not; sand; time; timer; waiting; with; yolo
⚖️,scales,Objects,usually_safer,variation_sequence,U+2696 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",balance; justice; libra; scale; scales; tool; weight; zodiac
⚒,hammer and pick,Objects,usually_safer,single_code_point,U+2692,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",and; hammer; pick; tool
⛏,pick,Objects,usually_safer,single_code_point,U+26CF,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",hammer; mining; pick; tool
⚙️,gear,Objects,usually_safer,variation_sequence,U+2699 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",cog; cogwheel; gear; tool
⛓,chains,Objects,usually_safer,single_code_point,U+26D3,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",chain; chains; connect; link; lock
⚔️,crossed swords,Objects,usually_safer,variation_sequence,U+2694 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",crossed; swords; weapon
⚰️,coffin,Objects,usually_safer,variation_sequence,U+26B0 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",coffin; dead; death; vampire
⚱️,funeral urn,Objects,usually_safer,variation_sequence,U+26B1 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",ashes; death; funeral; urn
⚗️,alembic,Objects,usually_safer,variation_sequence,U+2697 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",alembic; chemistry; tool
✉️,envelope,Objects,usually_safer,variation_sequence,U+2709 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",e-mail; email; envelope; letter; office; stationery; work
✂️,black scissors,Objects,usually_safer,variation_sequence,U+2702 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",black; cut; cutting; office; paper; scissors; stationery; tool; work
✒️,black nib,Objects,usually_safer,variation_sequence,U+2712 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",black; dark; draw; edit; nib; office; pen; stationery; work; write
✏️,pencil,Objects,usually_safer,variation_sequence,U+270F U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",draw; edit; office; pencil; stationery; work; write
❤️,heavy black heart,Symbols,usually_safer,variation_sequence,U+2764 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",black; emotion; heart; heavy; love; red; romance; valentine
❣️,heavy heart exclamation mark ornament,Symbols,usually_safer,variation_sequence,U+2763 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",exclamation; heart; heavy; love; ornament; punctuation; red; romance; valentine
☮️,peace symbol,Symbols,usually_safer,variation_sequence,U+262E U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",healing; peace; peaceful; symbol
✝️,latin cross,Symbols,usually_safer,variation_sequence,U+271D U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",christ; christian; cross; faith; latin; religion; spiritual
☪️,star and crescent,Symbols,usually_safer,variation_sequence,U+262A U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",and; crescent; faith; islam; muslim; ramadan; religion; spiritual; star
☸️,wheel of dharma,Symbols,usually_safer,variation_sequence,U+2638 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",buddhist; dharma; faith; of; religion; spiritual; wheel
✡️,star of david,Symbols,usually_safer,variation_sequence,U+2721 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",david; faith; jew; jewish; judaism; of; religion; spiritual; star
☯️,yin yang,Symbols,usually_safer,variation_sequence,U+262F U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",difficult; faith; lives; religion; spiritual; tao; taoist; total; yang; yin; yinyang
☦️,orthodox cross,Symbols,usually_safer,variation_sequence,U+2626 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",christian; cross; faith; orthodox; religion; spiritual
⛎,ophiuchus,Symbols,usually_safer,single_code_point,U+26CE,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",astrology; bearer; horoscope; ophiuchus; serpent; snake; zodiac
♈️,aries,Symbols,usually_safer,variation_sequence,U+2648 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",aries; astrology; horoscope; ram; zodiac
♉️,taurus,Symbols,usually_safer,variation_sequence,U+2649 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",astrology; bull; horoscope; ox; taurus; zodiac
♊️,gemini,Symbols,usually_safer,variation_sequence,U+264A U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",astrology; gemini; horoscope; twins; zodiac
♋️,cancer,Symbols,usually_safer,variation_sequence,U+264B U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",astrology; cancer; crab; horoscope; zodiac
♌️,leo,Symbols,usually_safer,variation_sequence,U+264C U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",astrology; horoscope; leo; lion; zodiac
♎️,libra,Symbols,usually_safer,variation_sequence,U+264E U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",astrology; balance; horoscope; justice; libra; scales; zodiac
♏️,scorpius,Symbols,usually_safer,variation_sequence,U+264F U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",astrology; horoscope; scorpio; scorpion; scorpius; zodiac
♐️,sagittarius,Symbols,usually_safer,variation_sequence,U+2650 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",archer; astrology; horoscope; sagittarius; zodiac
♑️,capricorn,Symbols,usually_safer,variation_sequence,U+2651 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",astrology; capricorn; goat; horoscope; zodiac
♒️,aquarius,Symbols,usually_safer,variation_sequence,U+2652 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",aquarius; astrology; bearer; horoscope; water; zodiac
♓️,pisces,Symbols,usually_safer,variation_sequence,U+2653 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",astrology; fish; horoscope; pisces; zodiac
⚛️,atom symbol,Symbols,usually_safer,variation_sequence,U+269B U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",atheist; atom; atomic; nuclear; science; symbol
☢️,radioactive sign,Symbols,usually_safer,variation_sequence,U+2622 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",atomic; caution; danger; hazard; nuclear; radioactive; science; sign
☣️,biohazard sign,Symbols,usually_safer,variation_sequence,U+2623 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",biohazard; caution; danger; hazard; sign
✴️,eight pointed black star,Symbols,usually_safer,variation_sequence,U+2734 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",*; black; eight; eight-pointed; gold; pointed; star; yellow
㊙️,circled ideograph secret,Symbols,usually_safer,variation_sequence,U+3299 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",button; circled; ideograph; japanese; secret; “secret”
㊗️,circled ideograph congratulation,Symbols,usually_safer,variation_sequence,U+3297 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",button; circled; congratulation; congratulations; ideograph; japanese; “congratulations”
❌,cross mark,Symbols,usually_safer,single_code_point,U+274C,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",cancel; cross; multiplication; multiply; red; x; ×
⭕️,heavy large circle,Symbols,usually_safer,variation_sequence,U+2B55 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",circle; heavy; hollow; large; o; red
⛔️,no entry,Symbols,usually_safer,variation_sequence,U+26D4 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",caution; danger; do; entry; fail; forbidden; hazard; no; not; pass; prohibited; red; traffic
♨️,hot springs,Symbols,usually_safer,variation_sequence,U+2668 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",hot; hotsprings; springs; steaming
❗️,heavy exclamation mark symbol,Symbols,usually_safer,variation_sequence,U+2757 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",!; exclamation; heavy; punctuation; red
❕,white exclamation mark ornament,Symbols,usually_safer,single_code_point,U+2755,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",!; exclamation; ornament; outlined; punctuation; red; white
❓,black question mark ornament,Symbols,usually_safer,single_code_point,U+2753,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",?; black; ornament; punctuation; question; red
❔,white question mark ornament,Symbols,usually_safer,single_code_point,U+2754,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",?; ornament; outlined; punctuation; question; white
‼️,double exclamation mark,Symbols,usually_safer,variation_sequence,U+203C U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",!; !!; bangbang; double; exclamation; punctuation
⁉️,exclamation question mark,Symbols,usually_safer,variation_sequence,U+2049 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",!; !?; ?; exclamation; interrobang; punctuation; question
〽️,part alternation mark,Symbols,usually_safer,variation_sequence,U+303D U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",alternation; mark; part
⚠️,warning sign,Symbols,usually_safer,variation_sequence,U+26A0 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",caution; danger; gold; hazard; sign; warning; yellow
⚜️,fleur-de-lis,Symbols,usually_safer,variation_sequence,U+269C U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",fleur-de-lis; knights
♻️,black universal recycling symbol,Symbols,usually_safer,variation_sequence,U+267B U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",black; recycle; recycling; universal
✅,white heavy check mark,Symbols,usually_safer,single_code_point,U+2705,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",button; check; checked; checkmark; complete; completed; done; fixed; green; heavy; tick; white; ✓
❇️,sparkle,Symbols,usually_safer,variation_sequence,U+2747 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",*; glitter; gold; magic; shiny; sparkle; yellow
✳️,eight spoked asterisk,Symbols,usually_safer,variation_sequence,U+2733 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",*; asterisk; eight; eight-spoked; spoked
❎,negative squared cross mark,Symbols,usually_safer,single_code_point,U+274E,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",button; cross; green; multiplication; multiply; negative; square; squared; x; ×
Ⓜ️,circled latin capital letter m,Symbols,usually_safer,variation_sequence,U+24C2 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",capital; circle; circled; latin; letter; m
♿️,wheelchair symbol,Symbols,usually_safer,variation_sequence,U+267F U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",access; handicap; symbol; wheelchair
⚧,male with stroke and male and female sign,Symbols,usually_safer,single_code_point,U+26A7,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",and; female; male; stroke; transgender; with
ℹ️,information source,Symbols,usually_safer,variation_sequence,U+2139 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",i; information; source
0️⃣,digit zero keycap,Symbols,usually_safer,keycap_sequence,U+0030 U+FE0F U+20E3,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",0; digit; keycap; keycap:; number; zero
1️⃣,digit one keycap,Symbols,usually_safer,keycap_sequence,U+0031 U+FE0F U+20E3,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",1; digit; keycap; keycap:; number; one
2️⃣,digit two keycap,Symbols,usually_safer,keycap_sequence,U+0032 U+FE0F U+20E3,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",2; digit; keycap; keycap:; number; two
3️⃣,digit three keycap,Symbols,usually_safer,keycap_sequence,U+0033 U+FE0F U+20E3,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",3; digit; keycap; keycap:; number; three
4️⃣,digit four keycap,Symbols,usually_safer,keycap_sequence,U+0034 U+FE0F U+20E3,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",4; digit; four; keycap; keycap:; number
5️⃣,digit five keycap,Symbols,usually_safer,keycap_sequence,U+0035 U+FE0F U+20E3,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",5; digit; five; keycap; keycap:; number
6️⃣,digit six keycap,Symbols,usually_safer,keycap_sequence,U+0036 U+FE0F U+20E3,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",6; digit; keycap; keycap:; number; six
7️⃣,digit seven keycap,Symbols,usually_safer,keycap_sequence,U+0037 U+FE0F U+20E3,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",7; digit; keycap; keycap:; number; seven
8️⃣,digit eight keycap,Symbols,usually_safer,keycap_sequence,U+0038 U+FE0F U+20E3,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",8; digit; eight; keycap; keycap:; number
9️⃣,digit nine keycap,Symbols,usually_safer,keycap_sequence,U+0039 U+FE0F U+20E3,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",9; digit; keycap; keycap:; nine; number
#️⃣,number sign keycap,Symbols,usually_safer,keycap_sequence,U+0023 U+FE0F U+20E3,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",digit; keycap; number; sign
*️⃣,asterisk keycap,Symbols,usually_safer,keycap_sequence,U+002A U+FE0F U+20E3,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",asterisk; digit; keycap; number
⏏️,eject symbol,Symbols,usually_safer,variation_sequence,U+23CF U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",button; control; eject; media; playback; player; symbol; video
▶️,black right-pointing triangle,Symbols,usually_safer,variation_sequence,U+25B6 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; black; button; control; media; play; playback; player; right; right-pointing; triangle; video
⏸,double vertical bar,Symbols,usually_safer,single_code_point,U+23F8,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",bar; button; control; double; media; pause; playback; player; vertical; video
⏯,black right-pointing triangle with double vertical bar,Symbols,usually_safer,single_code_point,U+23EF,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; bar; black; button; control; double; media; or; pause; play; playback; player; right; right-pointing; triangle; vertical; video; with
⏹,black square for stop,Symbols,usually_safer,single_code_point,U+23F9,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",black; button; control; for; media; playback; player; square; stop; video
⏺,black circle for record,Symbols,usually_safer,single_code_point,U+23FA,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",black; button; circle; control; for; media; playback; player; record; video
⏭,black right-pointing double triangle with vertical bar,Symbols,usually_safer,single_code_point,U+23ED,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; bar; black; button; control; double; media; next; playback; player; right-pointing; scene; track; triangle; vertical; video; with
⏮,black left-pointing double triangle with vertical bar,Symbols,usually_safer,single_code_point,U+23EE,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; bar; black; button; control; double; last; left-pointing; media; playback; player; previous; scene; track; triangle; vertical; video; with
⏩,black right-pointing double triangle,Symbols,usually_safer,single_code_point,U+23E9,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; black; button; control; double; fast; fast-forward; forward; media; playback; player; right-pointing; triangle; video
⏪,black left-pointing double triangle,Symbols,usually_safer,single_code_point,U+23EA,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; black; button; control; double; fast; left-pointing; media; playback; player; reverse; rewind; triangle; video
⏫,black up-pointing double triangle,Symbols,usually_safer,single_code_point,U+23EB,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; black; button; control; double; fast; media; playback; player; triangle; up; up-pointing; video
⏬,black down-pointing double triangle,Symbols,usually_safer,single_code_point,U+23EC,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; black; button; control; double; down; down-pointing; fast; media; playback; player; triangle; video
◀️,black left-pointing triangle,Symbols,usually_safer,variation_sequence,U+25C0 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; black; button; control; left; left-pointing; media; playback; player; reverse; triangle; video
➡️,black rightwards arrow,Symbols,usually_safer,variation_sequence,U+27A1 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; black; cardinal; direction; east; point; right; rightwards
⬅️,leftwards black arrow,Symbols,usually_safer,variation_sequence,U+2B05 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",arrow; black; cardinal; direction; left; leftwards; point; west
